"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000","sampleSize.12000","sampleSize.13000","sampleSize.14000","sampleSize.15000","sampleSize.16000","sampleSize.17000","sampleSize.18000","sampleSize.19000","sampleSize.20000"
-7.09117425023766,-7.74883407141395,-6.79987701960924,-6.59262918023086,-7.16550662638647,-7.12518356546045,-6.74887227871282,-7.44819504266436,-6.42591268281484,-7.30482722270827,-7.54434877587657,-6.77344371741373,-8.19316553329664,-7.00531687956269,-6.81688832527729,-7.7809452005979,-7.74138206078061,-7.32893655678537,-7.23688210532418,-7.06775153581349
-7.07952232613659,-7.58148708703966,-6.66443770459142,-6.53442656674694,-7.11993410229541,-6.93697637075319,-6.74451393795387,-7.43115681283217,-6.41413900764395,-7.25285435630822,-7.54386893954365,-6.74256242955879,-7.9973536803542,-6.97482684896083,-6.81460076222431,-7.43088765768897,-7.62176420437531,-7.23864195990836,-6.98196809385729,-7.05688550697517
-6.96489501400015,-7.50379337138684,-6.65737163004342,-6.52420631543854,-6.60430248063646,-6.83581699805148,-6.73181495966757,-7.3914569402865,-6.34415633600398,-7.15505535248128,-7.23685878825091,-6.71778171902581,-7.89910858524232,-6.87785131097277,-6.77785454514775,-7.29198577157197,-7.51276699828541,-7.21296772197432,-6.91596907248985,-6.97117616667066
-6.85623115681361,-7.1282991173036,-6.53409035024016,-6.49746493778621,-6.57976533492076,-6.82043860576904,-6.68103325124816,-7.35880593587683,-6.25163386217866,-6.96120982808774,-7.23380437674232,-6.64508129504343,-7.69517632469864,-6.64691515155973,-6.77552292181536,-7.12559026510789,-7.4613670031829,-7.02689693727603,-6.81896910256198,-6.91979096206042
-6.85522678518033,-7.09185505077076,-6.51290184202981,-6.32777029471937,-6.5283888062992,-6.81930226224648,-6.65517329755812,-7.3411968504846,-6.23219778311415,-6.93532220430042,-7.13979069871699,-6.6024901915859,-7.41362616242149,-6.50937286857776,-6.76745035771543,-7.12451767765466,-7.3521585976634,-6.73886676499549,-6.77739882841083,-6.86534306045007
-6.71568561746107,-6.99915436005595,-6.49354787037022,-6.28980836077348,-6.45295303644768,-6.8108163372407,-6.60392661303798,-7.17269264107885,-6.23077111629626,-6.9107886086424,-7.07671343705811,-6.42732857426354,-7.40662879130033,-6.48100988485653,-6.74887185929402,-6.89966195333847,-7.1469788024464,-6.72716983423951,-6.75005399315415,-6.61381733641449
-6.42757697747358,-6.85605649215378,-6.48378926530146,-6.27136399135519,-6.28713240768443,-6.53489366347002,-6.47055849858431,-7.15762926577986,-6.15207682647297,-6.83560633035071,-6.94660741010871,-6.35091103477839,-7.32289467650229,-6.39361144065257,-6.66494136350707,-6.68741021452647,-7.12054054189041,-6.69468978589062,-6.6760195284841,-6.494867217424
-6.34475950757373,-6.85293456232987,-6.47709160614125,-6.27114799432837,-6.17323887673098,-6.52706886120243,-6.41777869922476,-7.15374927242348,-6.12937974602893,-6.83441344340139,-6.77280404134817,-6.33924196802817,-7.21701809399971,-6.37461797217147,-6.66111157101748,-6.66069070957445,-7.07947561741516,-6.60741893824696,-6.64622194274741,-6.29053076928582
-6.29224891340573,-6.6563132791459,-6.44195749623317,-6.197224596828,-6.15791683355094,-6.39316046142031,-6.39831115803472,-7.07261105094061,-6.10121103915883,-6.69127025607302,-6.68443305668735,-6.19850437324375,-7.09212023838628,-6.18438345050619,-6.6486519320977,-6.56727675739084,-7.04987589174811,-6.60459501634452,-6.57081846950518,-6.25123075774683
-6.26933282654514,-6.65365204178839,-6.42696055663905,-6.04345515063117,-6.12136919440318,-6.3471668011284,-6.32258100557392,-6.96439351528277,-6.06996879326257,-6.63090917112752,-6.64084705920212,-6.14637647155787,-7.06575371358508,-6.07260412427986,-6.43214757099536,-6.47545477652023,-6.87937863811456,-6.40114509287543,-6.54302429926994,-6.14732325939907
