"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000"
4.27299117113798,4.25784756379083,4.23805870330513,4.1913672930816,3.37043424844777,4.24614409687458,3.81860097040142,3.71555808825545,3.98819927324016,4.66613867888774,4.65780577806703
4.2951054214651,4.26562871840974,4.24603704350166,4.19281512132095,3.44028380886764,4.28494426459746,3.85825672551856,3.72818928130349,3.99007776737933,4.76760884222486,4.66758537800743
4.3154105631237,4.2702424043864,4.26847855071603,4.21197346227349,3.45705064413497,4.29137986685049,3.93344809946018,3.79895426942417,4.03312074189459,4.76776177027599,4.67557685913915
4.31812051321751,4.31757018829165,4.36351899565814,4.21529420893769,3.45961428228482,4.30716848146442,3.95138412646727,3.83506775938797,4.06267937793242,4.76951626304853,4.67922423639442
4.35134440091809,4.34000255933925,4.3678705627564,4.21594835557051,3.48784256763537,4.37693904287782,3.99847201055252,3.86282837260134,4.1406809985371,4.77018488086192,4.69105421062032
4.3625083137475,4.37008450283626,4.40593879147103,4.28188508742592,3.50882150633452,4.414630287512,4.00083193146743,3.87533042201186,4.17188939127495,4.89663007930612,4.74729728039034
4.43949604335136,4.40223963611299,4.45451894712802,4.30421917812534,3.53409355071482,4.47139253949199,4.0254012103826,3.88194003664335,4.20599798802212,4.89841586226756,4.77312539512998
4.48426961825871,4.42881767143678,4.52515890119507,4.32203935680088,3.54780040430502,4.47543068860527,4.12734216458638,3.97614508366993,4.22367387113265,4.92314681511237,4.80721192642825
4.49867365554854,4.48048285041672,4.55711983250683,4.33000430460754,3.57138708920181,4.48508487515773,4.1602964731754,4.00316962970779,4.24826238322386,4.92473851314008,4.80965653938608
4.51849591289762,4.49811169158563,4.59571957469156,4.34841799660272,3.61375514673498,4.50898000449041,4.17888287940586,4.01235192332356,4.25243352909179,5.0046438149668,4.87101144009064
4.62835407887379,4.50986173449736,4.63562432312559,4.35073263100824,3.61509759347979,4.55604707913737,4.19456332485334,4.04270699782187,4.29855553578016,5.04551236729042,4.97905061652831
4.63051397270637,4.5157663564299,4.63811428048587,4.35244181779375,3.63289629545241,4.60853368527759,4.20649110404648,4.12335191914983,4.31656530697553,5.05751124940462,5.00057401855038
4.63200019371753,4.53233018886676,4.7190241927475,4.38787637793206,3.65484904196157,4.63971220278739,4.21863651685714,4.12349205081849,4.40366401517573,5.06870065404085,5.00404099135306
4.64253612120268,4.54219120430206,4.77107820852888,4.40404851213477,3.67601636081649,4.66163471081407,4.21898497622724,4.13777065582306,4.47627647231515,5.10607076604815,5.0678032825306
4.65372654486771,4.5858333306669,4.77932116434033,4.40495522791059,3.70041848213821,4.72077724246981,4.22450545635764,4.16236311858561,4.48322352395426,5.12698055797371,5.08011065395099
4.65434198621661,4.59552317062348,4.7821912011819,4.45964753320987,3.70255141514476,4.76681880402536,4.25240120165157,4.16571547844508,4.57733218083549,5.13999563515428,5.08566384952873
4.75155007607407,4.64075606179201,4.78652761232023,4.46068291508226,3.70366233137577,4.81731893203328,4.2939756553422,4.17415885053433,4.58393445641366,5.14459599940923,5.1069035709919
4.762132853851,4.67211064151476,4.79218629768821,4.48038867634454,3.72186535986112,4.86963976862371,4.31438343837088,4.18205121538453,4.60691944623043,5.15458171847593,5.15065199640233
4.76243378375595,4.72021403827828,4.80046883384349,4.48294568276126,3.72212101325858,4.89193571828905,4.33503529564627,4.22597220152995,4.61229467813578,5.1839068261122,5.16161940981095
4.78860643052235,4.74586404015736,4.84942984825996,4.54012892398112,3.73060604455089,4.89771754202858,4.35804430791388,4.26351451923192,4.624452737662,5.21704815179835,5.16167540058543
4.79011199516913,4.76776160064166,4.85274340529671,4.54682292524937,3.7679893519531,4.90566903300273,4.36847960088925,4.29087210615725,4.6389050950893,5.2656898763977,5.17595633728571
4.92011509529355,4.77691286576848,4.86888516781097,4.55657009737091,3.78281402908914,4.91558349241049,4.36930072263983,4.29285170864125,4.67206132570102,5.30724663138393,5.179865789467
4.93241701034399,4.77734430259577,4.89704846576284,4.57033425378498,3.7925265565578,4.95197824521982,4.3773379159388,4.2968663454302,4.70136522359938,5.34054019472784,5.19690714657751
4.93536719074827,4.79850027196122,4.91208327257216,4.63509016031467,3.8318103336079,4.96101056043081,4.39463393011587,4.30144734014338,4.70831316905404,5.36139366583944,5.20424306417785
4.95073407949363,4.81094312103552,4.91680358929022,4.64711895381007,3.8692037789062,5.05001581386404,4.48751050518999,4.33602021281171,4.70837066593166,5.42026912489997,5.20972408607982
4.95688670624826,4.81214345623978,4.92171860934326,4.68407923906838,3.9517699690408,5.06338628220072,4.51622676494187,4.34156166292811,4.77041619354935,5.432612425169,5.24278371064481
