"sampleSize.1000","sampleSize.2000","sampleSize.3000","sampleSize.4000","sampleSize.5000","sampleSize.6000","sampleSize.7000","sampleSize.8000","sampleSize.9000","sampleSize.10000","sampleSize.11000","sampleSize.12000","sampleSize.13000","sampleSize.14000","sampleSize.15000","sampleSize.16000","sampleSize.17000","sampleSize.18000","sampleSize.19000","sampleSize.20000"
-0.250612903694323,-0.204430193371506,-0.169939727886863,-0.146764923714662,-0.134127429493469,-0.130048821204245,-0.122843201269167,-0.129157182982171,-0.106603788830984,-0.112384419097013,-0.108327783054433,-0.0972280282887242,-0.107955523270055,-0.0915579225425301,-0.0959172920851213,-0.0924778787027961,-0.0970422059021075,-0.0889849451490919,-0.0867529801855484,-0.0809611775799386
-0.249700182797792,-0.204348460850095,-0.169544106550452,-0.143123299841247,-0.133331374427211,-0.129113224273756,-0.121389234100158,-0.127180957801093,-0.10605790674909,-0.111370613764384,-0.107621429285946,-0.0964103644145766,-0.10755417474718,-0.0899030634972604,-0.0927938751498322,-0.0911848766986326,-0.0946952951412788,-0.0862438262408648,-0.0863860202534057,-0.0796154468348057
-0.247238043805123,-0.201713971315239,-0.168546616866237,-0.141884275629298,-0.131445955742458,-0.12584577943061,-0.121082684769936,-0.126855406669136,-0.105494525252425,-0.110848204395061,-0.107389554692107,-0.094800321672145,-0.106744944011054,-0.0898494459670089,-0.0909339983634948,-0.0910699361215207,-0.0903405915110474,-0.0860335733427088,-0.085594221944251,-0.0787553344476252
-0.244215730937719,-0.199368800365131,-0.168121530134076,-0.13916987992603,-0.130015927330643,-0.124755234878871,-0.120506556465183,-0.126203026442367,-0.105003417903167,-0.110788783411024,-0.106518612468469,-0.0942677065532701,-0.104366513990459,-0.0889351638473655,-0.0905523251641494,-0.0897070500457598,-0.090234059021992,-0.0859041915554076,-0.0846071403114894,-0.0784791750980251
-0.243461988686469,-0.19718277317316,-0.167720841868331,-0.138903102192599,-0.128819235656204,-0.123737942480898,-0.119447992817924,-0.124911972890825,-0.103663536528721,-0.10991332101597,-0.10627436839107,-0.0913949943546199,-0.104285446333248,-0.0882682439775156,-0.0903944302622037,-0.088646039694719,-0.0899269216823157,-0.0858566996722991,-0.084471530323214,-0.0780244363920665
-0.242845290979625,-0.193734337370402,-0.167125006907191,-0.137601097658796,-0.12847086873235,-0.122430366012806,-0.118554154560862,-0.123826976301157,-0.102924819611336,-0.109783818631505,-0.105916341281929,-0.0911291205315053,-0.100960178627145,-0.0874543904064122,-0.0897452724080637,-0.0881993210091007,-0.0890772178336739,-0.0851413210787197,-0.0841082504291274,-0.0757523028447707
-0.242240684362693,-0.192199015160805,-0.166132278616293,-0.136367099763209,-0.12775550093708,-0.122394518469251,-0.118477776265332,-0.122259918279829,-0.102574787816077,-0.108672476949817,-0.105713332848711,-0.0910201997944044,-0.100535154282208,-0.0873183414697331,-0.0893032998855917,-0.087450383683473,-0.0873078926014816,-0.084618996794531,-0.0831916048888836,-0.0752266000465238
-0.239782147391006,-0.191645747881808,-0.163871103968432,-0.136303558034482,-0.127649286829243,-0.121783404234196,-0.117403180003751,-0.12202335073819,-0.102290712225098,-0.108620126749177,-0.105697583383151,-0.0906522646831445,-0.100533168473231,-0.0865645849631394,-0.0892000828925891,-0.0869328202873249,-0.087251902331198,-0.0846017403867741,-0.0829062816470241,-0.0751779217829379
-0.238188852591406,-0.191213408133371,-0.163792806340059,-0.13513699334932,-0.124969786743524,-0.120594685277248,-0.116509611177747,-0.121958773950456,-0.101383056624409,-0.10856352003649,-0.102578185268332,-0.0904442639171082,-0.0988565644531521,-0.0848197076152408,-0.0882086919155996,-0.0867308658530236,-0.0862184527781117,-0.0839860323920604,-0.0829026898644403,-0.0749933318016451
-0.237645292328287,-0.185675119343258,-0.162373321316403,-0.134163856045423,-0.124706195345413,-0.120018638482989,-0.116400124731203,-0.120896721070904,-0.10134719949202,-0.108468352587509,-0.10197015984668,-0.0900750738553474,-0.0938709209587312,-0.0848015985708479,-0.0876749128976067,-0.0855740979325562,-0.0846112751009701,-0.0836666357237836,-0.0828064762502561,-0.0743995119657357
-0.237433696995246,-0.185539306908983,-0.158653401743297,-0.132976650001831,-0.123725103593984,-0.119543852737001,-0.11628107733606,-0.120174001452952,-0.099972666950771,-0.105185106431189,-0.101339124260648,-0.0892888300397975,-0.0921923078358044,-0.0845157552419488,-0.0863421672507635,-0.0843530068551931,-0.0834269985417351,-0.0836150428454781,-0.0814459734007408,-0.0743790967463538
-0.236433164718518,-0.185047024781627,-0.157366872472579,-0.132835391432551,-0.121620201719191,-0.119029644671872,-0.116279063218964,-0.117285512027327,-0.0986455170611011,-0.102908981325182,-0.101071774484739,-0.0891708379424655,-0.0917555276958313,-0.08284347315962,-0.0851795069188404,-0.0842057643325402,-0.0832636279056242,-0.0828806941366614,-0.0807094739436922,-0.0742728562649947
-0.233410734813337,-0.183759314196935,-0.156001752187911,-0.130820885426571,-0.121013676704199,-0.116946700131737,-0.115369810835791,-0.115592045328468,-0.0986169950885351,-0.100525750203347,-0.0999361244582983,-0.0890574783269882,-0.0896794994639326,-0.0818826755106145,-0.0850981235488727,-0.0828638420000768,-0.0820800828974768,-0.0828007140989007,-0.0801938697849589,-0.0742411160361056
-0.233362243219421,-0.181895555712868,-0.155471339357952,-0.130454912310409,-0.120992750362322,-0.116725207862642,-0.114619652318351,-0.115431058561236,-0.0955747685988801,-0.099934955855632,-0.0981048376163158,-0.0888374591494641,-0.0894370721197077,-0.0813201905512989,-0.0839983440866136,-0.0820711161050079,-0.0817106750869124,-0.0826015682690571,-0.0797821107553728,-0.0738537156592011
-0.231190840349108,-0.180875676075978,-0.153991934097427,-0.130193291337358,-0.120974021384945,-0.115935253755569,-0.114255876488824,-0.113882713823889,-0.0940484985812467,-0.0976156391805537,-0.0980219440484341,-0.0883889074957238,-0.0874405045060942,-0.0813153859253735,-0.0834532542547124,-0.0818766728075996,-0.0813923235635173,-0.0810676537494354,-0.0793839281983801,-0.0728906607816239
-0.230631243647664,-0.17844419167973,-0.153984755454157,-0.130170957535738,-0.120813331489332,-0.115781859023216,-0.114158464003938,-0.113262220872059,-0.0932357091740752,-0.0973893894102451,-0.0978316836829055,-0.0881147430695867,-0.0867858123523943,-0.0800176897907332,-0.0827298511744691,-0.0816478970515735,-0.0808599852740332,-0.0809353768749565,-0.0793177399553507,-0.07260411400806
-0.227703472857218,-0.176270968136854,-0.153323696977526,-0.129149638401591,-0.12051663795382,-0.115458739930528,-0.11401372042125,-0.112844786846741,-0.0919655914428845,-0.097275141195365,-0.0977039071116461,-0.0864108711107556,-0.0858254040676167,-0.0794395708875194,-0.0827162072143183,-0.0813010946411013,-0.0788047131722723,-0.0795990438139671,-0.078812469402896,-0.0720575209208876
-0.227498567087741,-0.176176208406867,-0.151304212233302,-0.129073068995947,-0.118272433831244,-0.114374706811008,-0.113083391164943,-0.109837491135529,-0.0918677571701231,-0.0971382634347257,-0.097595572509107,-0.0839607948997393,-0.0854679880509664,-0.079379083664209,-0.0820239080812881,-0.080660192241146,-0.0783121165741633,-0.0795003995632546,-0.0788039044872769,-0.0719381346414274
-0.226337532857672,-0.175075539223712,-0.150623243688818,-0.128902835686317,-0.117883846249629,-0.113958390621137,-0.109089640983117,-0.106334944131198,-0.091668382792965,-0.0959987957949614,-0.0961647150478124,-0.0831919877042872,-0.085412188612801,-0.0780659679764971,-0.0810805957713604,-0.0799185719497495,-0.076427657412004,-0.0788289964368097,-0.077837823672786,-0.0718605701129073
